Title,Brand,Price,Condition,Retail_Price,Volume,Exterior_Color,Exterior_Material,Interior_Color,Interior_Material,Accessories,Ac_Count
Gucci Dionysus Bag GG Velvet Super Mini,Gucci,995.0,Very Good,,39.0,Purple,Leather,Brown,Microfiber,['Detachable Strap'],1.0
Chanel Boy Flap Bag Quilted Lambskin New Medium,Chanel,6190.0,Excellent,,231.0,Black,Leather,Black,Fabric,"['Dust bag', 'Authenticity card']",2.0
Saint Laurent Cassandra Top Handle Bag Leather Mini,Saint Laurent,1905.0,Great,2150.0,112.5,Black,Leather,Red,Leather,"['Dust bag', 'Detachable Strap']",2.0
Christian Dior Saddle Nano Pouch Leather,Christian Dior,870.0,Excellent,,20.25,Blue,Leather,Blue,Leather,['Detachable Strap'],1.0
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,4145.0,Very Good,6200.0,135.0,Black,Leather,Red,Leather,['Authenticity card'],1.0
Louis Vuitton Mini Boite Chapeau Bag Monogram Canvas,Louis Vuitton,2525.0,Excellent,,62.5,Brown,Canvas Coated,Neutral,Leather,"['Luggage Tag', 'Dust bag', 'Detachable Strap']",3.0
Gucci Queen Margaret Backpack Quilted Leather Small,Gucci,1285.0,Very Good,3150.0,427.5,Black,Leather,Pink,Microfiber,['Luggage Tag'],1.0
Celine Luggage Bag Grainy Leather Micro,Celine,1560.0,Very Good,2900.0,577.5,Blue,Grainy Leather,Blue,Suede,['No accessories'],0.0
Chanel Logo Pearls Chain Flap Bag Quilted Lambskin Medium,Chanel,5575.0,Excellent,,120.0,Black,Leather,Black,Fabric,['Authenticity card'],1.0
Louis Vuitton Pochette Accessoires Epi Leather,Louis Vuitton,375.0,Fair,550.0,47.5,Purple,Leather,Gray,Microfiber,['Detachable Strap'],1.0
Chanel CC Curve Wallet on Chain Quilted Lambskin,Chanel,2210.0,Great,2500.0,37.5,Pink,Leather,Pink,"Leather, Fabric","['Box', 'Dust bag']",2.0
Chanel Square Classic Single Flap Bag Quilted Caviar Mini,Chanel,5770.0,Excellent,,97.5,Yellow,Leather,Yellow,Leather,"['Authenticity card', 'Dust bag']",2.0
Celine Luggage Bag Smooth Leather Micro,Celine,1320.0,Good,2900.0,500.0,Blue,Smooth Leather,Blue,Leather,['No accessories'],0.0
Chanel Vintage Oval CC Tassel Crossbody Bag Suede Mini,Chanel,2515.0,Very Good,2980.0,70.0,Red,Suede,Red,Leather,['Authenticity card'],1.0
Chanel Boy Flap Bag Quilted Lambskin New Medium,Chanel,4280.0,Great,5600.0,220.5,Pink,Leather,Pink,Fabric,"['Box', 'Dust bag']",2.0
Saint Laurent Sunset Crossbody Bag Crocodile Embossed Leather Medium,Saint Laurent,1595.0,Good,2350.0,153.0,Neutral,Leather,Neutral,Suede,['Clochette'],1.0
Saint Laurent Lou Camera Bag Matelasse Chevron Leather Mini,Saint Laurent,1480.0,Excellent,,63.0,Black,Leather,Black,Leather,"['Dust bag', 'Box']",2.0
Christian Dior Book Tote Camo Canvas Mini,Christian Dior,2300.0,Excellent,,102.0,White,Canvas Plain,White,Canvas Interior,['No accessories'],0.0
Hermes Kelly Danse II Bag Evercolor,Hermes,12265.0,Excellent,,165.75,Gray,Leather,Gray,Leather,"['Base Shaper', 'Dust bag', 'Detachable Strap']",3.0
Chanel Graphic Flap Bag Quilted Calfskin Mini,Chanel,2320.0,Great,3100.0,82.5,Red,Leather,Black,Fabric,"['Dust bag', 'Authenticity card']",2.0
Chanel 3 Flap Bag Quilted Lambskin Mini,Chanel,2915.0,Very Good,,146.25,Red,Leather,Red,Fabric,"['Box', 'Dust bag', 'Authenticity card']",3.0
Louis Vuitton Vavin Handbag Damier with Leather PM,Louis Vuitton,2300.0,Great,,210.0,"Black, Brown","Canvas Coated, Leather",Black,Microfiber,['No accessories'],0.0
Hermes Birkin Handbag Malachite Togo with Gold Hardware 35,Hermes,16145.0,Great,,945.0,Green,Leather,Green,Leather,"['Clochette', 'Keys', 'Lock', 'Box', 'Dust bag']",5.0
Saint Laurent LouLou Shoulder Bag Matelasse Chevron Leather Toy,Saint Laurent,1305.0,Good,,123.75,Black,Leather,Black,Fabric,['Detachable Strap'],1.0
Louis Vuitton Boite Chapeau Souple Bag Monogram Canvas PM,Louis Vuitton,1960.0,Excellent,,126.75,Brown,Canvas Coated,Neutral,Microfiber,['No accessories'],0.0
Gucci Dionysus Bag GG Tweed Small,Gucci,2550.0,Great,,178.75,"Black, Print, Red, White",Tweed,Neutral,Microfiber,['Dust bag'],1.0
Gucci Charmy Hobo GG Canvas Medium,Gucci,460.0,Good,,240.0,Brown,Canvas Plain,Brown,Fabric,['No accessories'],0.0
Chanel Timeless Wallet on Chain Caviar,Chanel,2005.0,Great,2500.0,56.25,Pink,Leather,Pink,"Fabric, Leather",['No accessories'],0.0
Chanel Cuba Pocket Backpack Tweed with Mixed Media and Caviar Medium,Chanel,3115.0,Excellent,6100.0,687.5,Green,"Canvas (Plain), Textile",Green,Fabric,"['Dust bag', 'Authenticity card']",2.0
Prada,,,,,,,,,,,
Chanel Incognito Square Flap Bag Quilted Caviar Mini,Chanel,4360.0,Excellent,,112.5,Blue,Leather,Blue,Fabric,"['Dust bag', 'Authenticity card']",2.0
Louis Vuitton Soufflot Handbag Epi Leather,Louis Vuitton,365.0,Fair,1280.0,363.0,Red,Leather,Red,Microfiber,['Pochette missing'],1.0
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,4615.0,Good,6200.0,135.0,Neutral,Leather,Neutral,Leather,['Dust bag'],1.0
Celine Luggage Bag Smooth Leather Mini,,,,,,,,,,,
Louis Vuitton Neverfull NM Tote Damier MM,,,,,,,,,,,
Chanel Filigree Vanity Case Quilted Tweed Small,Chanel,4290.0,Excellent,,97.5,"Blue, Multi Color",Tweed,,Leather,"['Clochette', 'Keys', 'Lock', 'Dust bag', 'Box', 'Authenticity card']",6.0
Chanel Boy Flap Bag Chevron Lambskin Old Medium,,,,,,,,,,,
Chanel Reissue 2.55 Flap Bag Quilted Velvet 225,Chanel,4420.0,Great,4800.0,180.0,Blue,Velvet,Blue,Leather,"['Authenticity card', 'Dust bag', 'Box']",3.0
Saint Laurent Classic Monogram College Bag Matelasse Chevron Leather Medium,Saint Laurent,1955.0,Very Good,2450.0,126.0,Black,Leather,Black,"Fabric, Leather","['Dust bag', 'Detachable Strap']",2.0
Chanel Deauville Tote Studded Caviar Small,Chanel,4665.0,Great,,819.0,Blue,Leather,Blue,Microfiber,"['Authenticity card', 'Dust bag']",2.0
Christian Dior My Lady Dior Bag Cannage Quilt Lambskin,Christian Dior,3825.0,Great,4500.0,196.0,Blue,Leather,Black,Fabric,"['Pins', 'Dust bag', 'Detachable Strap']",3.0
Chanel CC Mania Vanity Case Lambskin,Chanel,3235.0,Excellent,3600.0,165.0,Red,Leather,Blue,Fabric,['Authenticity card'],1.0
Louis Vuitton Pochette Metis Reverse Monogram Canvas,Louis Vuitton,2515.0,Great,,228.0,Brown,Canvas (Coated),Black,Microfiber,"['Dust bag', 'Detachable Strap']",2.0
Chanel Chain Handle CC Flap Bag Quilted Caviar with Studded Detail Small,Chanel,5220.0,Great,,116.875,Black,Leather,Pink,Fabric,['Authenticity card'],1.0
Chanel Vintage Timeless Shopping Tote Quilted Lambskin Large,Chanel,2505.0,Good,,771.875,Black,Leather,Black,Leather,['No accessories'],0.0
Hermes Kelly Handbag Cactus Evercolor with Palladium Hardware 28,Hermes,16345.0,Excellent,,374.0,Green,Leather,Green,Leather,"['Clochette', 'Keys', 'Lock', 'Box', 'Dust bag', 'Detachable Strap']",6.0
Chanel Boy Flap Bag Quilted Perforated Lambskin New Medium,Chanel,4400.0,Very Good,5600.0,269.5,Blue,Leather,Blue,Fabric,['Dust bag'],1.0
Bottega Veneta Cassette Crossbody Bag Maxi Intrecciato Leather Mini,Bottega Veneta,1055.0,Excellent,1250.0,45.0,Black,Leather,Brown,Suede,"['Box', 'Dust bag', 'Detachable Strap']",3.0
Chanel Perfect Edge Tote Quilted Leather Small,Chanel,2475.0,Very Good,3800.0,536.25,Brown,Leather,Red,Fabric,['No accessories'],0.0
Christian Dior CD Hobo Calfskin,Christian Dior,2480.0,Great,4400.0,702.0,Black,Leather,Black,Microfiber,"['Dust bag', 'Detachable Strap']",2.0
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Medium,Chanel,4210.0,Very Good,6800.0,150.0,Black,Leather,Red,Leather,['No accessories'],0.0
Chanel Vintage Backpack Quilted Suede Medium,Chanel,2340.0,Good,,595.125,Black,Suede,Black,Satin,['Authenticity card'],1.0
Louis Vuitton Keepall Bandouliere Bag Limited Edition Colored Monogram Giant 50,Louis Vuitton,3960.0,Excellent,,1955.0,"Green, Neutral, White, Multicolor",Canvas (Coated),Neutral,Fabric,"['Keys', 'Lock', 'Luggage Tag', 'Poignet', 'Dust bag', 'Detachable Strap']",6.0
Louis Vuitton Soft Trunk Bag Monogram Eclipse Canvas,Louis Vuitton,3075.0,Excellent,3650.0,266.0,Black,Canvas Coated,Black,Fabric,['Detachable Strap'],1.0
Chanel Coco Top Handle Bag Chevron Calfskin Large,Chanel,4940.0,Great,,520.0,Neutral,Leather,Neutral,Fabric,['Detachable Strap'],1.0
Chanel 19 Flap Bag Quilted Lambskin Medium,,,,,,,,,,,
Chanel Trendy CC Wallet on Chain Chevron Jersey,Chanel,2850.0,Great,3100.0,56.25,Black,Jersey,Black,Leather,"['Authenticity card', 'Box', 'Dust bag']",3.0
Louis Vuitton Pochette Accessoires Damier Mini,Louis Vuitton,520.0,Good,,24.0,White,Canvas Coated,Neutral,Fabric,['No accessories'],0.0
Chanel Classic Single Flap Bag Chevron Lambskin Mini,Chanel,4445.0,Very Good,,100.0,Pink,Leather,Pink,Leather,['No accessories'],0.0
Louis Vuitton Pont Neuf Handbag Monogram Empreinte Leather MM,Louis Vuitton,2830.0,Great,3200.0,540.0,Blue,Leather,Red,Fabric,"['Clochette missing', 'Detachable Strap']",2.0
Chanel Vintage CC Flap Shoulder Bag Perforated Leather Medium,Chanel,1985.0,Great,2250.0,150.0,Black,Leather,White,Leather,"['Box', 'Dust bag']",2.0
