Title,Brand,Price,Condition,Retail_Price,Volume,Exterior Color,Exterior Material,Interior Color,Interior Material,Accessories
Hermes Birkin Handbag Malachite Epsom with Palladium Hardware 30,Hermes,13690.0,Excellent,,552.0,Green,Leather,Green,Leather,"['Clochette', 'Keys', 'Lock', 'Box missing', 'Dust bag', 'Rain coat']"
Chanel Cuba Pocket Backpack Tweed with Mixed Media and Caviar Medium,Chanel,3115.0,Excellent,6100.0,687.5,Green,"Canvas (Plain), Textile",Green,Fabric,"['Dust bag', 'Authenticity card']"
Chanel Urban Spirit Backpack Quilted Lambskin Small,Chanel,3845.0,Excellent,4100.0,380.0,Pink,Leather,Pink,Fabric,['Authenticity card']
Chanel CC Mania Vanity Case Lambskin,Chanel,3235.0,Excellent,3600.0,165.0,Red,Leather,Blue,Fabric,['Authenticity card']
Gucci Queen Margaret Backpack Quilted Leather Small,,,,,,,,,,[]
Gucci GG Marmont Round Shoulder Bag Matelasse Leather Mini,Gucci,1505.0,Excellent,,98.0,Black,Leather,Neutral,,['Dust bag']
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,4145.0,Very Good,5800.0,135.0,Black,Leather,Red,Leather,['Authenticity card']
Saint Laurent Lou Camera Bag Matelasse Chevron Leather Mini,,,,,,,,,,[]
Celine Luggage Bag Smooth Leather Micro,,,,,,,,,,[]
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,3980.0,Very Good,5800.0,135.0,Black,Leather,Red,Leather,['No accessories']
Hermes Kelly Handbag Cactus Evercolor with Palladium Hardware 28,Hermes,16345.0,Excellent,,374.0,Green,Leather,Green,Leather,"['Clochette', 'Keys', 'Lock', 'Box', 'Dust bag', 'Detachable Strap']"
Chanel Boy Flap Bag Quilted Perforated Lambskin New Medium,,,,,,,,,,[]
Bottega Veneta Cassette Crossbody Bag Maxi Intrecciato Leather Mini,Bottega Veneta,1055.0,Excellent,1250.0,45.0,Black,Leather,Brown,Suede,"['Box', 'Dust bag', 'Detachable Strap']"
Chanel Perfect Edge Tote Quilted Leather Small,,,,,,,,,,[]
Chanel Square Classic Single Flap Bag Quilted Caviar Mini,Chanel,5770.0,Excellent,,97.5,Yellow,Leather,Yellow,Leather,"['Authenticity card', 'Dust bag']"
Prada,,,,,,,,,,[]
Christian Dior Book Tote Camo Canvas Mini,Christian Dior,2300.0,Excellent,,102.0,White,Canvas Plain,White,Canvas Interior,['No accessories']
Gucci Dionysus Bag GG Tweed Small,,,,,,,,,,[]
Chanel Double Stitch Hamptons Wallet On Chain Quilted Leather,Chanel,1835.0,Very Good,,80.0,Black,Leather,Black,"Fabric, Leather",['Authenticity card']
Louis Vuitton Keepall Bandouliere Bag Limited Edition Colored Monogram Giant 50,,,,,,,,,,[]
Louis Vuitton Soft Trunk Bag Monogram Eclipse Canvas,Louis Vuitton,3075.0,Excellent,3650.0,266.0,Black,Canvas Coated,Black,Fabric,['Detachable Strap']
Christian Dior Vintage Saddle Bag Diorissimo Canvas with Patent Medium,,,,,,,,,,[]
Saint Laurent LouLou Shoulder Bag Matelasse Chevron Leather Toy,Saint Laurent,1305.0,Good,,123.75,Black,Leather,Black,Fabric,['Detachable Strap']
Louis Vuitton Mini Boite Chapeau Bag Monogram Canvas,Louis Vuitton,2525.0,Excellent,,62.5,Brown,Canvas Coated,Neutral,Leather,"['Luggage Tag', 'Dust bag', 'Detachable Strap']"
Louis Vuitton Pochette Accessoires Epi Leather,Louis Vuitton,375.0,Fair,550.0,47.5,Purple,Leather,Gray,Microfiber,['Detachable Strap']
Gucci Dionysus Chain Wallet Leather with Embellished Detail Small,Gucci,1320.0,Excellent,1450.0,61.875,Neutral,Leather,Pink,"Leather, Nylon","['Dust bag', 'Detachable Strap']"
Chanel CC Curve Wallet on Chain Quilted Lambskin,,,,,,,,,,[]
Prada Promenade Bag Saffiano Leather Small,Prada,790.0,Very Good,1850.0,280.0,Pink,Leather,Pink,Fabric,"['Clochette', 'Detachable Strap']"
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Medium,,,,,,,,,,[]
Chanel 3 Flap Bag Quilted Lambskin Mini,Chanel,2915.0,Very Good,,146.25,Red,Leather,Red,Fabric,"['Box', 'Dust bag', 'Authenticity card']"
Saint Laurent LouLou Shoulder Bag Matelasse Chevron Leather Toy,,,,,,,,,,[]
Prada Canapa Tote Canvas Medium,,,,,,,,,,[]
Chanel Filigree Vanity Case Quilted Tweed Small,,,,,,,,,,[]
Chanel Egyptian Amulet Wallet on Chain Quilted Lambskin,,,,,,,,,,[]
Chanel Timeless Wallet on Chain Caviar,Chanel,2005.0,Great,2500.0,56.25,Pink,Leather,Pink,"Fabric, Leather",['No accessories']
Chanel Graphic Flap Bag Quilted Calfskin Mini,Chanel,2320.0,Great,3100.0,82.5,Red,Leather,Black,Fabric,"['Dust bag', 'Authenticity card']"
Saint Laurent Classic Monogram College Bag Quilted Leather Medium,Saint Laurent,1545.0,Great,2490.0,133.0,Brown,Leather,Black,Fabric,['Dust bag']
Gucci GG Marmont Chain Wallet Leather Mini,Gucci,945.0,Good,1450.0,66.0,Red,Leather,Red,"Fabric, Leather",['Detachable Strap']
Saint Laurent Bellechasse Shoulder Bag Suede and Leather Medium,Saint Laurent,890.0,Great,1890.0,114.0,Pink,"Leather, Suede",Pink,Suede,['Dust bag']
Christian Dior CD Hobo Calfskin,Christian Dior,2480.0,Great,4400.0,702.0,Black,Leather,Black,Microfiber,"['Dust bag', 'Detachable Strap']"
Christian Dior Saddle Nano Pouch Leather,Christian Dior,870.0,Excellent,,20.25,Blue,Leather,Blue,Leather,['Detachable Strap']
Louis Vuitton Pochette Accessoires NM Damier,Louis Vuitton,980.0,Great,,67.5,White,Canvas (Coated),Neutral,Fabric,['Detachable Strap']
Chanel Incognito Square Flap Bag Quilted Caviar Mini,Chanel,4360.0,Excellent,,112.5,Blue,Leather,Blue,Fabric,"['Dust bag', 'Authenticity card']"
Chanel Vintage Timeless Shopping Tote Quilted Lambskin Large,Chanel,2505.0,Good,,771.875,Black,Leather,Black,Leather,['No accessories']
Chanel Classic CC Shopping Tote Quilted Caviar Large,Chanel,3535.0,Great,4900.0,616.0,Blue,Leather,Blue,Fabric,['No accessories']
Chanel Vintage Backpack Quilted Suede Medium,Chanel,2340.0,Good,,595.125,Black,Suede,Black,Satin,['Authenticity card']
Gucci Ophidia Chain Shoulder Bag Leather Small,Gucci,1665.0,Very Good,2250.0,210.0,White,Leather,Neutral,Microfiber,['Dust bag']
Chanel Wallet on Chain Quilted Lambskin,,,,,,,,,,[]
Saint Laurent Uptown Tote Leather Small,,,,,,,,,,[]
Hermes Birkin Handbag Bicolor Chevre Mysore with Palladium Hardware 25,Hermes,13895.0,Very Good,,400.0,Green,Leather,Green,Leather,"['Clochette', 'Keys', 'Lock', 'Dust bag']"
Louis Vuitton Vavin Handbag Damier with Leather PM,Louis Vuitton,2300.0,Great,,210.0,"Black, Brown","Canvas Coated, Leather",Black,Microfiber,['No accessories']
Chanel Ballerine Flap Bag Quilted Lambskin Medium,Chanel,2705.0,Great,3200.0,175.5,Black,Leather,Red,Fabric,"['Mirror missing', 'Authenticity card']"
Chanel Logo Zip Backpack Shearling,,,,,,,,,,[]
Saint Laurent Classic Monogram College Bag Matelasse Chevron Leather Medium,Saint Laurent,1955.0,Very Good,2450.0,126.0,Black,Leather,Black,"Fabric, Leather","['Dust bag', 'Detachable Strap']"
